filename,count,bit
out-0.0000005-0.2--018.7,27,0
out-0.0000005-0.2--018.7,25165757,1
out-0.0000005-0.2--018.8,25,0
out-0.0000005-0.2--018.8,25165759,1
out-0.0000005-0.2--018.9,25,0
out-0.0000005-0.2--018.9,25165759,1
out-0.0000005-0.2--019.0,25,0
out-0.0000005-0.2--019.0,25165759,1
out-0.0000005-0.2--019.1,25,0
out-0.0000005-0.2--019.1,25165759,1
out-0.0000005-0.2--019.2,25,0
out-0.0000005-0.2--019.2,25165759,1
out-0.0000005-0.2--019.3,25,0
out-0.0000005-0.2--019.3,25165759,1
out-0.0000005-0.2--019.4,23,0
out-0.0000005-0.2--019.4,25165761,1
out-0.0000005-0.2--019.5,23,0
out-0.0000005-0.2--019.5,25165761,1
out-0.0000005-0.2--019.6,23,0
out-0.0000005-0.2--019.6,25165761,1
out-0.0000005-0.2--019.7,23,0
out-0.0000005-0.2--019.7,25165761,1
out-0.0000005-0.2--019.8,23,0
out-0.0000005-0.2--019.8,25165761,1
out-0.0000005-0.2--019.9,23,0
out-0.0000005-0.2--019.9,25165761,1
out-0.0000005-0.2--020.0,23,0
out-0.0000005-0.2--020.0,25165761,1
out-0.0000005-0.2--020.1,23,0
out-0.0000005-0.2--020.1,25165761,1
out-0.0000005-0.2--020.2,23,0
out-0.0000005-0.2--020.2,25165761,1
out-0.0000005-0.2--020.3,23,0
out-0.0000005-0.2--020.3,25165761,1
out-0.0000005-0.2--020.4,23,0
out-0.0000005-0.2--020.4,25165761,1
out-0.0000005-0.2--020.5,23,0
out-0.0000005-0.2--020.5,25165761,1
out-0.0000005-0.2--020.6,23,0
out-0.0000005-0.2--020.6,25165761,1
out-0.0000005-0.2--020.7,23,0
out-0.0000005-0.2--020.7,25165761,1
out-0.0000005-0.2--020.8,23,0
out-0.0000005-0.2--020.8,25165761,1
out-0.0000005-0.2--020.9,23,0
out-0.0000005-0.2--020.9,25165761,1
out-0.0000005-0.2--021.0,23,0
out-0.0000005-0.2--021.0,25165761,1
out-0.0000005-0.2--021.1,23,0
out-0.0000005-0.2--021.1,25165761,1
out-0.0000005-0.2--021.2,23,0
out-0.0000005-0.2--021.2,25165761,1
out-0.0000005-0.2--021.3,23,0
out-0.0000005-0.2--021.3,25165761,1
out-0.0000005-0.2--021.4,23,0
out-0.0000005-0.2--021.4,25165761,1
out-0.0000005-0.2--021.5,23,0
out-0.0000005-0.2--021.5,25165761,1
out-0.0000005-0.2--021.6,23,0
out-0.0000005-0.2--021.6,25165761,1
out-0.0000005-0.2--021.7,23,0
out-0.0000005-0.2--021.7,25165761,1
out-0.0000005-0.2--021.8,23,0
out-0.0000005-0.2--021.8,25165761,1
out-0.0000005-0.2--021.9,23,0
out-0.0000005-0.2--021.9,25165761,1
out-0.0000005-0.2--022.0,23,0
out-0.0000005-0.2--022.0,25165761,1
out-0.0000005-0.2--022.1,23,0
out-0.0000005-0.2--022.1,25165761,1
out-0.0000005-0.2--022.2,23,0
out-0.0000005-0.2--022.2,25165761,1
out-0.0000005-0.2--022.3,23,0
out-0.0000005-0.2--022.3,25165761,1
out-0.0000005-0.2--022.4,23,0
out-0.0000005-0.2--022.4,25165761,1
out-0.0000005-0.2--022.5,23,0
out-0.0000005-0.2--022.5,25165761,1
out-0.0000005-0.2--022.6,23,0
out-0.0000005-0.2--022.6,25165761,1
out-0.0000005-0.2--022.7,23,0
out-0.0000005-0.2--022.7,25165761,1
out-0.0000005-0.2--022.8,23,0
out-0.0000005-0.2--022.8,25165761,1
out-0.0000005-0.2--022.9,23,0
out-0.0000005-0.2--022.9,25165761,1
out-0.0000005-0.2--023.0,23,0
out-0.0000005-0.2--023.0,25165761,1
out-0.0000005-0.2--023.1,23,0
out-0.0000005-0.2--023.1,25165761,1
out-0.0000005-0.2--023.2,23,0
out-0.0000005-0.2--023.2,25165761,1
out-0.0000005-0.2--023.3,23,0
out-0.0000005-0.2--023.3,25165761,1
out-0.0000005-0.2--023.4,23,0
