filename,count,bit
out-034.6,25165754,1
out-034.7,30,0
out-034.7,25165754,1
out-034.8,30,0
out-034.8,25165754,1
out-034.9,30,0
out-034.9,25165754,1
out-035.0,30,0
out-035.0,25165754,1
out-035.1,30,0
out-035.1,25165754,1
out-035.2,30,0
out-035.2,25165754,1
out-035.3,30,0
out-035.3,25165754,1
out-035.4,30,0
out-035.4,25165754,1
out-035.5,30,0
out-035.5,25165754,1
out-035.6,30,0
out-035.6,25165754,1
out-035.7,30,0
out-035.7,25165754,1
out-035.8,30,0
out-035.8,25165754,1
out-035.9,30,0
out-035.9,25165754,1
out-036.0,30,0
out-036.0,25165754,1
out-036.1,30,0
out-036.1,25165754,1
out-036.2,30,0
out-036.2,25165754,1
out-036.3,30,0
out-036.3,25165754,1
out-036.4,30,0
out-036.4,25165754,1
out-036.5,30,0
out-036.5,25165754,1
out-036.6,30,0
out-036.6,25165754,1
out-036.7,30,0
out-036.7,25165754,1
out-036.8,30,0
out-036.8,25165754,1
out-036.9,30,0
out-036.9,25165754,1
out-037.0,30,0
out-037.0,25165754,1
out-037.1,30,0
out-037.1,25165754,1
out-037.2,30,0
out-037.2,25165754,1
out-037.3,30,0
out-037.3,25165754,1
out-037.4,30,0
out-037.4,25165754,1
out-037.5,30,0
out-037.5,25165754,1
out-037.6,30,0
out-037.6,25165754,1
out-037.7,30,0
out-037.7,25165754,1
out-037.8,30,0
out-037.8,25165754,1
out-037.9,32,0
out-037.9,25165752,1
out-038.0,30,0
out-038.0,25165754,1
out-038.1,30,0
out-038.1,25165754,1
out-038.2,30,0
out-038.2,25165754,1
out-038.3,30,0
out-038.3,25165754,1
out-038.4,30,0
out-038.4,25165754,1
out-038.5,30,0
out-038.5,25165754,1
out-038.6,30,0
out-038.6,25165754,1
out-038.7,30,0
out-038.7,25165754,1
out-038.8,30,0
out-038.8,25165754,1
out-038.9,32,0
out-038.9,25165752,1
out-039.0,30,0
out-039.0,25165754,1
out-039.1,30,0
out-039.1,25165754,1
out-039.2,30,0
out-039.2,25165754,1
